date,time,time_number,vis_distance,temp,wind_speed
1/1/2022,12:00:00 AM,0,2000,5.6,41
1/1/2022,12:06:00 AM,6,2012,5.6,46
1/1/2022,12:30:00 AM,30,3219,5.6,57
1/1/2022,12:51:00 AM,51,3219,5,51
1/1/2022,1:51:00 AM,151,3219,5,41
1/1/2022,2:07:00 AM,207,1609,5,36
1/1/2022,2:51:00 AM,251,1609,4.4,67
1/1/2022,3:51:00 AM,351,1609,4.4,51
1/1/2022,4:20:00 AM,420,3219,4.4,67
1/1/2022,4:49:00 AM,449,4023,4,57
1/1/2022,4:51:00 AM,451,4023,3.9,57
1/1/2022,5:11:00 AM,511,6437,3.9,62
1/1/2022,5:51:00 AM,551,4828,3.9,67
1/1/2022,5:59:00 AM,559,999999,999.9,9999
1/1/2022,5:59:00 AM,559,999999,999.9,9999
1/1/2022,6:00:00 AM,600,4800,3.9,67
1/1/2022,6:26:00 AM,626,4023,3.3,82
1/1/2022,6:51:00 AM,651,3219,2.8,93
1/1/2022,7:51:00 AM,751,3219,1.7,67
1/1/2022,8:35:00 AM,835,6437,2.2,62
1/1/2022,8:49:00 AM,849,8047,2,51
1/1/2022,8:51:00 AM,851,8047,2.2,46
1/1/2022,9:51:00 AM,951,8047,1.7,57
1/1/2022,10:43:00 AM,1043,8047,1.1,62
1/1/2022,10:51:00 AM,1051,8047,1.1,67
1/1/2022,11:51:00 AM,1151,11265,1.1,67
1/1/2022,12:00:00 PM,1200,11000,1.1,67
1/1/2022,12:44:00 PM,1244,16093,1.7,88
1/1/2022,12:51:00 PM,1251,16093,1.7,113
1/1/2022,1:38:00 PM,1338,9656,1.1,103
1/1/2022,1:51:00 PM,1351,11265,0.6,103
1/1/2022,2:07:00 PM,1407,4828,0.6,72
1/1/2022,2:28:00 PM,1428,8047,0,77
1/1/2022,2:51:00 PM,1451,9656,0,72
1/1/2022,3:10:00 PM,1510,14484,1.1,98
1/1/2022,3:20:00 PM,1520,16093,1.1,103
1/1/2022,3:51:00 PM,1551,16093,1.1,103
1/1/2022,4:51:00 PM,1651,16093,1.1,103
1/1/2022,5:51:00 PM,1751,16093,1.1,118
1/1/2022,6:00:00 PM,1800,16000,1.1,118
1/1/2022,6:21:00 PM,1821,4828,0.6,103
1/1/2022,6:30:00 PM,1830,3219,0.6,77
1/1/2022,6:39:00 PM,1839,2414,0.6,103
1/1/2022,6:47:00 PM,1847,3219,1,82
1/1/2022,6:51:00 PM,1851,3219,0.6,93
1/1/2022,7:07:00 PM,1907,2816,0.6,82
1/1/2022,7:17:00 PM,1917,2012,0,93
1/1/2022,7:28:00 PM,1928,1207,0,93
1/1/2022,7:44:00 PM,1944,805,0,98
1/1/2022,7:51:00 PM,1951,1207,0,88
1/1/2022,8:30:00 PM,2030,1207,-0.6,88
1/1/2022,8:51:00 PM,2051,1207,-0.6,113
1/1/2022,9:49:00 PM,2149,1207,-1,98
1/1/2022,9:51:00 PM,2151,1207,-0.6,93
1/1/2022,10:09:00 PM,2209,805,-0.6,108
1/1/2022,10:51:00 PM,2251,805,-1.1,118
1/1/2022,11:51:00 PM,2351,1207,-3.3,82
1/2/2022,12:00:00 AM,0,1200,-3.3,82
1/2/2022,12:49:00 AM,49,2414,-4,82
1/2/2022,12:51:00 AM,51,2414,-3.9,88
1/2/2022,1:10:00 AM,110,1207,-3.9,77
1/2/2022,1:27:00 AM,127,3219,-3.9,77
1/2/2022,1:51:00 AM,151,3219,-3.9,77
1/2/2022,2:19:00 AM,219,4828,-3.3,67
1/2/2022,2:49:00 AM,249,4828,-1,113
1/2/2022,2:51:00 AM,251,4828,-1.1,98
1/2/2022,3:30:00 AM,330,4023,-1.1,98
1/2/2022,3:41:00 AM,341,2414,-1.1,98
1/2/2022,3:51:00 AM,351,2414,-1.1,82
1/2/2022,4:38:00 AM,438,1609,-1.7,93
1/2/2022,4:51:00 AM,451,1609,-1.1,88
1/2/2022,5:28:00 AM,528,1207,-3.9,62
1/2/2022,5:51:00 AM,551,1207,-4.4,72
1/2/2022,5:59:00 AM,559,999999,999.9,9999
1/2/2022,6:00:00 AM,600,1200,-4.4,72
1/2/2022,6:15:00 AM,615,2414,-5,82
1/2/2022,6:51:00 AM,651,2414,-5.6,62
1/2/2022,7:16:00 AM,716,1609,-5.6,82
1/2/2022,7:48:00 AM,748,1207,-6,82
1/2/2022,7:51:00 AM,751,1207,-6.1,93
1/2/2022,8:25:00 AM,825,3219,-6.1,88
1/2/2022,8:51:00 AM,851,3219,-6.1,72
1/2/2022,9:21:00 AM,921,6437,-6.1,67
1/2/2022,9:36:00 AM,936,9656,-6.1,77
1/2/2022,9:51:00 AM,951,16093,-6.1,77
1/2/2022,10:20:00 AM,1020,8047,-6.1,77
1/2/2022,10:47:00 AM,1047,11265,-6,72
1/2/2022,10:51:00 AM,1051,11265,-6.1,72
1/2/2022,11:24:00 AM,1124,16093,-6.7,67
1/2/2022,11:35:00 AM,1135,16093,-6.7,62
1/2/2022,11:51:00 AM,1151,16093,-6.7,67
1/2/2022,12:00:00 PM,1200,16000,-6.7,67
1/2/2022,12:51:00 PM,1251,16093,-7.2,51
1/2/2022,1:51:00 PM,1351,16093,-6.7,51
1/2/2022,2:51:00 PM,1451,12875,-6.7,41
1/2/2022,3:12:00 PM,1512,6437,-6.7,67
1/2/2022,3:51:00 PM,1551,6437,-6.1,46
1/2/2022,4:05:00 PM,1605,6437,-5.6,57
1/2/2022,4:11:00 PM,1611,11265,-6.1,41
1/2/2022,4:47:00 PM,1647,8047,-6,51
1/2/2022,4:51:00 PM,1651,9656,-5.6,36
1/2/2022,5:05:00 PM,1705,14484,-5,51
1/2/2022,5:07:00 PM,1707,14484,-5,41
1/2/2022,5:51:00 PM,1751,16093,-4.4,41
1/2/2022,6:00:00 PM,1800,16000,-4.4,41
1/2/2022,6:51:00 PM,1851,16093,-3.3,46
1/2/2022,7:51:00 PM,1951,16093,-2.8,21
1/2/2022,8:51:00 PM,2051,16093,-2.8,31
1/2/2022,9:51:00 PM,2151,16093,-3.9,26
1/2/2022,10:51:00 PM,2251,16093,-5,21
1/2/2022,11:51:00 PM,2351,16093,-5.6,41
1/3/2022,12:00:00 AM,0,16000,-5.6,41
1/3/2022,12:51:00 AM,51,16093,-6.7,36
1/3/2022,1:51:00 AM,151,16093,-7.8,26
1/3/2022,2:51:00 AM,251,16093,-8.3,21
1/3/2022,3:51:00 AM,351,16093,-9.4,21
1/3/2022,4:51:00 AM,451,16093,-10,21
1/3/2022,5:51:00 AM,551,16093,-10.6,21
1/3/2022,5:59:00 AM,559,999999,999.9,9999
1/3/2022,6:00:00 AM,600,16000,-10.6,21
1/3/2022,6:51:00 AM,651,16093,-10.6,26
1/3/2022,7:51:00 AM,751,16093,-11.1,26
1/3/2022,8:51:00 AM,851,16093,-11.7,21
1/3/2022,9:51:00 AM,951,16093,-11.7,26
1/3/2022,10:51:00 AM,1051,16093,-12.2,21
1/3/2022,11:51:00 AM,1151,16093,-12.2,15
1/3/2022,12:00:00 PM,1200,16000,-12.2,15
1/3/2022,12:51:00 PM,1251,16093,-12.8,26
1/3/2022,1:51:00 PM,1351,16093,-12.8,26
1/3/2022,2:51:00 PM,1451,16093,-11.7,41
1/3/2022,3:51:00 PM,1551,16093,-10,36
1/3/2022,4:51:00 PM,1651,16093,-8.3,41
1/3/2022,5:51:00 PM,1751,16093,-6.7,67
1/3/2022,6:00:00 PM,1800,16000,-6.7,67
1/3/2022,6:51:00 PM,1851,16093,-6.7,57
1/3/2022,7:51:00 PM,1951,16093,-6.1,41
1/3/2022,8:51:00 PM,2051,16093,-5.6,57
1/3/2022,9:51:00 PM,2151,16093,-5.6,51
1/3/2022,10:51:00 PM,2251,16093,-6.7,46
1/3/2022,11:51:00 PM,2351,16093,-6.7,46
1/4/2022,12:00:00 AM,0,16000,-6.7,46
1/4/2022,12:51:00 AM,51,16093,-6.7,41
1/4/2022,1:51:00 AM,151,16093,-6.7,36
1/4/2022,2:51:00 AM,251,16093,-6.1,57
1/4/2022,3:51:00 AM,351,16093,-6.1,36
1/4/2022,4:51:00 AM,451,16093,-5.6,46
1/4/2022,5:51:00 AM,551,16093,-5.6,41
1/4/2022,5:59:00 AM,559,999999,999.9,9999
1/4/2022,6:00:00 AM,600,16000,-5.6,41
1/4/2022,6:51:00 AM,651,16093,-5,31
1/4/2022,7:51:00 AM,751,16093,-5,31
1/4/2022,8:51:00 AM,851,16093,-5,41
1/4/2022,9:51:00 AM,951,16093,-5.6,36
1/4/2022,10:51:00 AM,1051,16093,-5,41
1/4/2022,11:51:00 AM,1151,16093,-5,41
1/4/2022,12:00:00 PM,1200,16000,-5,41
1/4/2022,12:51:00 PM,1251,16093,-4.4,46
1/4/2022,1:51:00 PM,1351,16093,-4.4,51
1/4/2022,2:51:00 PM,1451,16093,-3.3,51
1/4/2022,3:51:00 PM,1551,16093,-1.7,62
1/4/2022,4:51:00 PM,1651,16093,-1.1,72
1/4/2022,5:51:00 PM,1751,16093,0,51
1/4/2022,6:00:00 PM,1800,16000,0,51
1/4/2022,6:51:00 PM,1851,16093,0,62
1/4/2022,7:51:00 PM,1951,16093,0.6,57
1/4/2022,8:51:00 PM,2051,16093,1.1,67
1/4/2022,9:51:00 PM,2151,16093,0.6,82
1/4/2022,10:51:00 PM,2251,16093,0,62
1/4/2022,11:51:00 PM,2351,16093,0,57
1/5/2022,12:00:00 AM,0,16000,0,57
1/5/2022,12:51:00 AM,51,16093,0.6,62
1/5/2022,1:51:00 AM,151,16093,0.6,72
1/5/2022,2:51:00 AM,251,16093,0.6,77
1/5/2022,3:51:00 AM,351,16093,1.1,67
1/5/2022,4:51:00 AM,451,16093,1.1,88
1/5/2022,5:51:00 AM,551,16093,1.1,93
1/5/2022,5:59:00 AM,559,999999,999.9,9999
1/5/2022,6:00:00 AM,600,16000,1.1,93
1/5/2022,6:51:00 AM,651,16093,0.6,88
1/5/2022,7:51:00 AM,751,16093,0.6,82
1/5/2022,8:51:00 AM,851,16093,0,72
1/5/2022,9:16:00 AM,916,16093,0,103
1/5/2022,9:51:00 AM,951,16093,-0.6,118
1/5/2022,10:04:00 AM,1004,9656,-1.1,113
1/5/2022,10:45:00 AM,1045,6437,-3,93
1/5/2022,10:51:00 AM,1051,4828,-3.3,82
1/5/2022,10:55:00 AM,1055,4023,-3.3,103
1/5/2022,11:09:00 AM,1109,6437,-3.9,108
